Distance PDF(Ar-Ar) 
0.005001146564220277 0.0 
0.015003439692660691 0.0 
0.025005732821100822 0.0 
0.03500802594954115 0.0 
0.0450103190779814 0.0 
0.05501261220642056 0.0 
0.06501490533486273 0.0 
0.07501719846330134 0.0 
0.08501949159174212 0.0 
0.09502178472018456 0.0 
0.10502407784862529 0.0 
0.11502637097706293 0.0 
0.12502866410550273 0.0 
0.1350309572339471 0.0 
0.14503325036238757 0.0 
0.15503554349082804 0.0 
0.1650378366192633 0.0 
0.17504012974770622 0.0 
0.18504242287614484 0.0 
0.19504471600458817 0.0 
0.20504700913303123 0.0 
0.21504930226146454 0.0 
0.22505159538991204 0.0 
0.23505388851834416 0.0 
0.24505618164678825 0.0 
0.2550584747752338 0.0 
0.26506076790366767 0.0 
0.2750630610321105 0.0 
0.2850653541605462 0.0 
0.29506764728898854 0.0 
0.3050699404174303 0.0 
0.3150722335458725 0.0 
0.3250745266743135 0.0 
0.335076819802753 0.0 
0.3450791129311966 0.0 
0.35508140605963817 0.0 
0.36508369918806705 0.0 
0.3750859923165229 0.0 
0.3850882854449607 0.0 
0.39509057857338914 0.0 
0.40509287170182795 0.0 
0.41509516483027764 0.0 
0.4250974579587139 0.0 
0.43509975108714993 0.0 
0.44510204421560323 0.0 
0.4551043373440391 0.0 
0.46510663047247397 0.0 
0.47510892360092755 0.0 
0.485111216729364 0.0 
0.4951135098577909 0.0 
0.5051158029862252 0.0 
0.5151180961146866 0.0 
0.5251203892431161 0.0 
0.535122682371552 0.0 
0.545124975500006 0.0 
0.5551272686284393 0.0 
0.5651295617568725 0.0 
0.5751318548853253 0.0 
0.5851341480137573 0.0 
0.595136441142199 0.0 
0.6051387342706558 0.0 
0.6151410273990883 0.0 
0.6251433205275158 0.0 
0.6351456136559478 0.0 
0.6451479067844015 0.0 
0.6551501999128523 0.0 
0.6651524930412855 0.0 
0.6751547861697336 0.0 
0.6851570792981648 0.0 
0.695159372426596 0.0 
0.705161665555042 0.0 
0.7151639586834735 0.0 
0.7251662518119327 0.0 
0.7351685449403833 0.0 
0.7451708380688141 0.0 
0.7551731311972408 0.0 
0.7651754243256713 0.0 
0.7751777174541199 0.0 
0.785180010582585 0.0 
0.7951823037110165 0.0 
0.8051845968394604 0.0 
0.8151868899678901 0.0 
0.82518918309632 0.0 
0.8351914762247626 0.0 
0.8451937693531929 0.0 
0.8551960624816639 0.0 
0.8651983556101103 0.0 
0.8752006487385399 0.0 
0.885202941866966 0.0 
0.8952052349953953 0.0 
